"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","ScanAngleRank","UserData","PointSourceId","GpsTime","Red","Green","Blue"
637012.240,849028.310,431.660,143.000,1.000,1.000,1.000,0.000,1.000,-9.000,132.000,7326.000,245380.783,68.000,77.000,88.000
636896.330,849087.700,446.390,18.000,1.000,2.000,1.000,0.000,1.000,-11.000,128.000,7326.000,245381.453,54.000,66.000,68.000
636784.740,849106.660,426.710,118.000,1.000,1.000,0.000,0.000,1.000,-10.000,122.000,7326.000,245382.136,112.000,97.000,114.000
636699.380,848991.010,425.390,100.000,1.000,1.000,0.000,0.000,1.000,-6.000,124.000,7326.000,245382.825,178.000,138.000,162.000
636601.870,849018.600,425.100,124.000,1.000,1.000,1.000,0.000,1.000,-4.000,126.000,7326.000,245383.388,134.000,104.000,134.000
636451.970,849250.590,435.170,48.000,1.000,1.000,0.000,0.000,1.000,-9.000,122.000,7326.000,245383.880,99.000,85.000,95.000
636326.710,849372.280,408.600,3.000,1.000,1.000,1.000,0.000,2.000,-12.000,128.000,7326.000,245384.382,90.000,95.000,106.000
636268.210,849260.730,427.920,207.000,1.000,1.000,1.000,0.000,1.000,-9.000,128.000,7326.000,245384.824,106.000,100.000,125.000
636198.790,849238.090,428.050,142.000,1.000,1.000,1.000,0.000,1.000,-9.000,126.000,7326.000,245385.226,106.000,95.000,124.000
636145.600,849170.470,428.150,124.000,1.000,1.000,1.000,0.000,1.000,-6.000,124.000,7326.000,245385.571,100.000,94.000,122.000
636037.530,849338.450,423.060,147.000,1.000,1.000,0.000,0.000,2.000,-9.000,124.000,7326.000,245385.911,64.000,70.000,74.000
636043.770,849006.040,427.950,75.000,1.000,1.000,0.000,0.000,1.000,-1.000,124.000,7326.000,245386.273,152.000,108.000,134.000
635883.430,849390.780,423.690,63.000,1.000,1.000,0.000,0.000,1.000,-11.000,124.000,7326.000,245386.620,71.000,73.000,93.000
635869.160,849206.430,444.460,1.000,1.000,2.000,1.000,0.000,1.000,-9.000,126.000,7326.000,245386.970,51.000,61.000,65.000
635795.240,849310.430,426.610,146.000,1.000,1.000,0.000,0.000,1.000,-9.000,126.000,7326.000,245387.329,101.000,94.000,121.000
635751.670,849347.180,426.250,91.000,1.000,1.000,0.000,0.000,1.000,-10.000,124.000,7326.000,245387.654,98.000,82.000,114.000
635792.160,848992.450,428.580,134.000,1.000,1.000,1.000,0.000,1.000,-4.000,124.000,7326.000,245387.967,142.000,102.000,137.000
635717.780,849050.000,428.670,167.000,1.000,1.000,0.000,0.000,1.000,-7.000,124.000,7326.000,245388.323,163.000,118.000,150.000
635674.050,849017.320,428.020,153.000,1.000,1.000,0.000,0.000,1.000,-7.000,126.000,7326.000,245388.610,146.000,104.000,140.000
635619.850,850064.040,447.010,1.000,1.000,2.000,0.000,0.000,1.000,15.000,125.000,7327.000,246092.208,52.000,65.000,68.000
635640.420,849758.790,422.740,25.000,1.000,1.000,1.000,0.000,1.000,6.000,124.000,7327.000,246092.682,39.000,57.000,56.000
635742.420,850052.760,424.640,188.000,1.000,1.000,0.000,0.000,1.000,12.000,128.000,7327.000,246092.917,95.000,89.000,113.000
635761.190,849985.010,425.720,4.000,3.000,3.000,1.000,0.000,1.000,11.000,126.000,7327.000,246093.105,80.000,83.000,102.000
635684.020,849494.390,407.120,48.000,1.000,1.000,0.000,0.000,1.000,1.000,126.000,7327.000,246093.265,78.000,88.000,94.000
635680.540,849362.660,421.560,58.000,2.000,2.000,0.000,0.000,2.000,-1.000,126.000,7327.000,246093.418,64.000,73.000,78.000
635791.170,849750.920,413.420,77.000,1.000,1.000,1.000,0.000,1.000,7.000,122.000,7327.000,246093.582,72.000,78.000,90.000
635873.030,850003.120,424.440,33.000,1.000,1.000,0.000,0.000,1.000,13.000,126.000,7327.000,246093.741,98.000,104.000,118.000
635816.570,849586.550,407.320,224.000,1.000,1.000,1.000,0.000,1.000,4.000,124.000,7327.000,246093.907,76.000,88.000,93.000
635816.340,849427.070,447.570,4.000,1.000,3.000,0.000,0.000,1.000,1.000,126.000,7327.000,246094.069,52.000,66.000,66.000
635823.360,849299.380,426.610,179.000,1.000,1.000,0.000,0.000,2.000,-1.000,126.000,7327.000,246094.223,116.000,101.000,133.000
635851.870,849270.770,428.540,181.000,1.000,1.000,1.000,0.000,1.000,-1.000,124.000,7327.000,246094.385,128.000,112.000,142.000
635947.640,849589.040,407.250,182.000,1.000,1.000,1.000,0.000,1.000,5.000,124.000,7327.000,246094.540,75.000,86.000,90.000
635979.820,849609.020,407.220,2.000,1.000,1.000,1.000,0.000,2.000,5.000,122.000,7327.000,246094.693,103.000,98.000,112.000
635961.350,849379.820,438.020,2.000,1.000,2.000,1.000,0.000,1.000,0.000,122.000,7327.000,246094.845,73.000,76.000,92.000
635978.840,849335.530,424.280,98.000,1.000,1.000,1.000,0.000,1.000,0.000,122.000,7327.000,246094.998,99.000,89.000,113.000
636074.840,849719.230,410.470,63.000,1.000,1.000,1.000,0.000,1.000,7.000,122.000,7327.000,246095.153,114.000,90.000,112.000
